STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        662;20161007;   10;  10.9;   4.0;    3;   0.6;   4;    4.167;-999;   7.5;  11.3; 1011.12;   11.1;   86.33;   14.4;    6.6;    3.4;eor
        662;20161008;   10;   9.2;   2.4;    3;   6.9;   4;    0.367;-999;   6.6;   9.9; 1013.52;    7.9;   92.83;   11.8;    4.1;    0.8;eor
        662;20161009;   10;   4.8;   2.1;    3;   0.8;   4;    0.167;-999;   7.1;   9.3; 1014.62;    6.8;   93.67;   10.3;    3.1;    0.7;eor
        662;20161010;   10;   4.1;   1.1;    3;   0.0;   4;    1.650;-999;   6.3;   9.6; 1013.99;    8.2;   88.46;   12.4;    4.2;    1.2;eor
        662;20161011;   10;   9.1;   2.3;    3;   1.1;   4;    0.000;-999;   8.0;  10.2; 1011.19;    7.9;   95.33;    9.9;    5.7;    5.4;eor
        662;20161012;   10;   8.5;   4.2;    3;   0.3;   4;    0.000;-999;   7.8;   9.4; 1012.32;    7.2;   92.33;    8.9;    6.2;    5.9;eor
        662;20161013;   10;  11.1;   5.0;    3;   0.0;   4;    0.000;-999;   7.5;   9.1; 1010.97;    7.4;   88.83;    8.9;    6.5;    6.2;eor
        662;20161014;   10;  10.9;   5.8;    3;   0.0;   4;    0.117;-999;   7.9;   8.8; 1003.81;    8.0;   82.21;   10.5;    6.0;    5.8;eor
        662;20161015;   10;   8.8;   3.0;    3;   0.0;   4;    0.167;-999;   7.9;  11.4; 1003.25;   10.7;   87.25;   13.8;    7.6;    6.6;eor
        662;20161016;   10;   8.5;   2.0;    3;   0.0;   0;    8.733;-999;   3.1;  12.2; 1012.32;   12.6;   84.88;   17.6;    7.7;    3.9;eor
        662;20161017;   10;  10.7;   3.7;    3;   0.0;   4;    1.550;-999;   8.0;  12.8; 1012.43;   12.0;   91.33;   14.5;   10.5;   10.2;eor
        662;20161018;   10;   9.7;   2.7;    3;   1.7;   4;    5.867;-999;   6.1;  12.4; 1009.62;   12.7;   84.83;   16.1;   10.1;    6.9;eor
        662;20161019;   10;   7.5;   2.6;    3;  21.7;   4;    0.833;-999;   7.1;  10.0; 1002.56;    8.3;   91.33;   10.1;    6.2;    2.8;eor
